edges,semiCore,imCore,speedUp
4,0.00011068582534790039,0.00017497936884562174,1.58
16,6.1651070912679032e-05,0.00021398067474365234,3.47
64,7.2340170542399093e-05,0.00055366754531860352,7.653
256,9.7354253133138016e-05,0.0017600258191426594,18.078
1024,0.00021032492319742838,0.0085253318150838222,40.534
4096,0.00049765904744466149,0.046700994173685707,93.841
16384,0.0014516711235046387,0.30748866001764935,211.817
65536,0.0042966802914937334,2.1366117000579834,497.27
262144,0.016818026701609295,15.63899564743042,929.894
1048576,0.069964687029520675,120.81893732150395,1726.855
